,task,loss,length
259,1,66.41483306884766,70
260,1,45.86371612548828,48
261,1,83.0719985961914,71
262,1,38.73546600341797,65
263,1,51.805763244628906,43
264,0,22.187448501586914,5
265,0,12.985557556152344,5
266,1,28.17230224609375,27
267,1,88.91060638427734,55
268,1,26.293052673339844,43
269,0,45.944740295410156,5
270,1,44.310882568359375,74
271,0,64.12958526611328,31
272,0,14.62455940246582,5
273,0,10.178302764892578,2
274,1,46.05303955078125,55
275,1,25.40485191345215,31
276,0,43.33836364746094,7
277,1,32.55094909667969,32
278,1,23.98531723022461,39
279,1,37.6829833984375,59
280,0,18.343671798706055,10
281,1,43.602203369140625,45
282,0,14.873826026916504,2
283,1,33.5830078125,39
284,1,30.386112213134766,42
285,1,37.31543731689453,31
286,1,31.012210845947266,60
287,1,26.034040451049805,26
288,0,35.873138427734375,11
289,1,40.247642517089844,29
290,1,45.486576080322266,51
291,1,42.07304000854492,31
292,0,23.044527053833008,7
293,1,28.06307601928711,52
294,1,20.15593719482422,39
295,1,31.679243087768555,33
296,0,37.78840255737305,10
297,1,46.71766662597656,47
298,1,24.627233505249023,34
299,0,13.612792015075684,4
300,1,21.5347900390625,56
301,0,9.138795852661133,2
302,0,18.0454158782959,4
303,1,84.05532836914062,40
304,1,47.58290100097656,40
305,1,20.01468849182129,69
306,0,82.11050415039062,38
307,0,29.962968826293945,4
308,1,28.267391204833984,35
309,0,37.45454788208008,5
310,1,17.063419342041016,45
311,1,29.206979751586914,52
312,1,42.85261154174805,62
313,1,56.548057556152344,62
314,0,31.10654640197754,6
315,1,11.481534957885742,61
316,1,59.16883087158203,39
317,1,43.14363098144531,55
318,1,31.046323776245117,28
319,1,38.687870025634766,39
320,1,154.9498291015625,58
321,1,17.794458389282227,57
322,1,14.917762756347656,47
323,1,51.34007263183594,33
324,0,13.78732967376709,4
325,0,16.69399070739746,5
326,1,10.156595230102539,23
327,1,11.442705154418945,33
328,1,52.48231887817383,57
329,1,110.73123931884766,43
330,0,284.3380432128906,34
331,0,13.227518081665039,4
332,0,23.25591278076172,3
333,0,16.25006103515625,4
334,0,33.64101028442383,9
335,1,50.42873001098633,47
336,1,32.103702545166016,39
337,1,28.472064971923828,39
338,1,76.80681610107422,55
339,0,8.44359016418457,5
340,1,45.113407135009766,62
341,1,39.35057067871094,39
342,0,30.332780838012695,5
343,1,46.736663818359375,58
344,1,56.18031692504883,57
345,1,41.86693572998047,38
346,1,22.854625701904297,60
347,0,38.534786224365234,4
348,1,28.392253875732422,66
349,1,19.536911010742188,49
350,1,39.20709228515625,37
351,1,31.97201919555664,61
352,0,21.515090942382812,4
353,0,18.486225128173828,4
354,0,27.08596420288086,5
355,1,34.12163162231445,59
356,1,36.61772155761719,47
357,1,33.33526611328125,53
358,0,8.288467407226562,3
359,0,9.350597381591797,1
360,1,56.783897399902344,30
361,1,48.97799301147461,53
362,1,52.25688934326172,55
363,0,53.82131576538086,6
364,0,28.661144256591797,6
365,0,20.712644577026367,4
366,1,108.80872344970703,70
367,1,43.42555236816406,29
368,1,43.34233093261719,70
369,0,20.85555648803711,4
370,1,25.62857437133789,45
371,1,65.55066680908203,24
