,task,loss,length
96,0,14.646337509155273,7
97,1,1.850376009941101,53
98,1,0.695470929145813,31
99,1,1.5535880327224731,54
100,1,0.6538342237472534,64
101,1,0.8359779715538025,22
102,1,0.8736209869384766,40
103,1,0.9208571910858154,44
104,0,1.1607551574707031,11
105,1,0.6234242916107178,48
106,0,3.5084946155548096,5
107,1,1.7039270401000977,42
108,0,4.030622959136963,4
109,0,4.823974132537842,9
110,1,0.8067501187324524,58
111,1,1.2899566888809204,24
112,1,1.5978388786315918,43
113,1,1.1885695457458496,31
114,1,1.2108720541000366,76
115,1,1.374657154083252,48
116,1,2.1333136558532715,22
117,0,2.150648832321167,8
118,0,4.192829608917236,7
119,0,2.8138840198516846,40
120,0,3.2941908836364746,13
121,0,5.013647079467773,5
122,1,1.4514567852020264,49
123,1,0.7507672309875488,36
124,1,0.8477776050567627,57
125,1,0.4650827944278717,65
126,0,5.3219075202941895,4
127,1,0.6626108884811401,57
128,0,15.10406494140625,2
129,1,1.2593774795532227,28
130,0,3.444352626800537,7
131,0,4.512941837310791,3
132,1,0.5373934507369995,37
133,0,4.775770664215088,3
134,1,0.713435709476471,39
135,0,3.3305046558380127,11
136,1,0.7769960165023804,43
137,1,1.56118905544281,39
138,1,0.6981112957000732,44
139,1,0.6159576177597046,52
140,1,1.1071550846099854,29
141,1,0.7284772992134094,50
142,1,0.5887805819511414,51
143,1,1.4472650289535522,35
144,0,22.38501739501953,2
145,1,1.550395131111145,24
146,1,1.6596784591674805,40
147,0,4.22644567489624,6
148,1,1.0196610689163208,54
149,1,0.698860228061676,40
150,0,10.909704208374023,4
151,0,9.888915061950684,2
152,1,1.2067631483078003,56
153,0,2.886693000793457,6
154,1,1.9264832735061646,46
155,1,0.6647367477416992,52
156,0,4.931224346160889,7
157,1,1.2588891983032227,27
158,0,2.2561824321746826,7
159,0,3.0108916759490967,7
160,1,0.9547215700149536,31
161,1,2.0864269733428955,27
162,0,4.585500240325928,7
163,0,3.7019965648651123,3
164,1,1.104286789894104,46
165,1,0.9682139754295349,52
166,1,0.9959086775779724,59
167,1,1.403898000717163,32
168,1,1.3501054048538208,29
169,0,4.67808723449707,4
170,1,0.7958211898803711,66
171,1,0.887037992477417,71
172,1,0.7161538600921631,71
173,0,4.1764631271362305,5
174,1,0.5095574855804443,69
175,1,1.1088379621505737,23
176,0,3.7812721729278564,7
177,0,3.8308358192443848,5
178,0,5.209394931793213,3
179,1,1.327604055404663,53
180,1,1.364876627922058,30
181,1,0.9245180487632751,61
182,1,1.1748979091644287,45
183,1,0.3731335997581482,57
184,1,0.9798471927642822,62
185,1,0.6460561156272888,54
186,0,4.2642974853515625,4
187,1,0.40467768907546997,58
188,1,1.33203125,38
189,1,0.8262656331062317,57
190,1,0.7692812085151672,62
191,0,3.5428335666656494,8
192,0,7.115977764129639,2
193,0,4.553955554962158,7
194,1,0.4329773783683777,57
195,1,0.7146716117858887,47
196,1,1.125746726989746,19
197,1,1.222077488899231,46
198,0,3.3467957973480225,11
199,0,4.834024429321289,4
200,1,0.8717055320739746,61
201,1,0.3942943513393402,62
202,0,15.788084030151367,4
203,1,1.1065846681594849,58
204,1,0.8129094243049622,43
205,1,1.1846392154693604,67
206,1,0.8353760242462158,43
207,1,0.6501172184944153,70
208,1,0.6372144818305969,61
209,0,4.871328353881836,4
210,0,4.887674331665039,4
211,0,10.406416893005371,4
212,0,6.373449325561523,4
213,0,2.506594181060791,7
214,0,2.757985830307007,11
215,1,0.7565959692001343,67
216,1,2.1209216117858887,40
217,1,0.6240467429161072,49
218,1,1.1383922100067139,40
219,1,1.5955504179000854,56
220,0,7.224880695343018,3
221,1,0.5922602415084839,58
222,0,5.289233207702637,7
223,1,0.7973342537879944,41
224,0,4.668847560882568,3
225,1,0.6960013508796692,47
226,0,4.8343987464904785,5
227,0,8.234220504760742,2
228,0,0.5878828763961792,75
229,1,1.0011284351348877,22
230,1,0.6627525687217712,32
231,1,0.7115370035171509,36
232,1,1.035874605178833,52
233,1,0.5937904119491577,66
234,1,0.3529715836048126,62
235,0,4.378267288208008,4
236,1,1.3490585088729858,45
237,1,1.3157596588134766,68
238,0,2.372737169265747,7
239,1,0.6996428966522217,55
240,0,5.483744144439697,5
241,1,1.1877516508102417,61
242,1,1.4666588306427002,61
243,1,0.9062349796295166,72
244,0,27.15886116027832,4
245,0,11.958635330200195,4
246,1,1.6834070682525635,34
247,0,5.9436445236206055,4
248,0,10.009319305419922,2
249,1,1.2541396617889404,45
250,0,7.466282844543457,4
251,0,4.669954299926758,8
252,1,0.6336440443992615,44
253,0,4.471472263336182,3
254,0,2.0716001987457275,5
255,1,0.8506144285202026,42
256,0,3.2373690605163574,2
257,1,1.6610260009765625,60
258,0,2.0885322093963623,37
259,1,1.1299954652786255,70
260,1,0.8669421076774597,48
261,1,1.069409966468811,71
262,1,0.47123661637306213,65
263,1,1.0182774066925049,43
264,0,1.7029306888580322,5
265,0,3.937121629714966,5
266,1,0.6596757173538208,27
267,1,1.2715917825698853,55
268,1,0.3063182234764099,43
269,0,9.963092803955078,5
270,0,7.233353614807129,2
271,1,1.0151768922805786,55
272,1,1.5689473152160645,31
273,1,0.8209317326545715,74
274,0,2.2123379707336426,31
275,0,2.7642176151275635,5
276,0,5.615252494812012,7
277,1,0.8878906965255737,32
278,1,0.8046217560768127,39
279,1,0.7467578053474426,59
280,0,1.9080688953399658,10
281,1,0.7211809754371643,45
282,0,3.2702107429504395,2
283,1,0.8128563761711121,39
284,1,1.35125732421875,42
285,1,0.7876865863800049,31
286,1,0.4484485983848572,60
287,1,0.9912283420562744,26
288,1,2.6849942207336426,31
289,0,2.0320181846618652,7
290,1,0.6533030271530151,52
291,0,3.832012891769409,11
292,1,2.0773885250091553,29
293,1,0.7829598188400269,51
294,1,0.5123421549797058,39
295,1,1.032571792602539,33
296,0,3.594569683074951,10
297,1,1.1592596769332886,47
298,1,1.0345360040664673,34
299,0,3.2298481464385986,4
300,1,0.3953852951526642,56
301,0,7.467978477478027,2
302,0,4.362977504730225,4
303,1,1.740787148475647,40
304,1,0.9200237989425659,40
305,1,0.45192208886146545,69
306,0,8.085020065307617,5
307,1,0.7381973266601562,45
308,1,0.631376326084137,52
309,0,1.5312765836715698,38
310,0,2.389864683151245,4
311,1,0.7339425086975098,35
312,1,0.7645153403282166,62
313,1,0.7372711300849915,62
314,0,5.131932258605957,6
315,1,0.5165382027626038,61
316,1,1.3577723503112793,39
317,1,1.251487135887146,55
318,1,1.0072482824325562,28
319,1,1.1063926219940186,39
320,1,2.626980781555176,58
321,1,0.3873409926891327,57
322,1,0.8231678605079651,47
323,1,1.6488368511199951,33
324,1,0.4935460388660431,33
325,1,0.7691803574562073,57
326,1,2.510139226913452,43
327,0,6.022311210632324,4
328,0,4.001116752624512,5
329,1,1.5166292190551758,23
330,0,5.50108003616333,4
331,0,4.261081218719482,9
332,1,1.093876838684082,47
333,0,8.401410102844238,34
334,0,3.1722142696380615,4
335,0,4.3933424949646,3
336,1,0.7358463406562805,39
337,1,0.8398527503013611,39
338,1,0.9314213395118713,55
339,0,2.97653865814209,5
340,1,0.820465087890625,62
341,1,1.2291768789291382,39
342,1,0.4857690632343292,38
343,1,0.4529162645339966,60
344,0,8.692986488342285,4
345,0,5.6205363273620605,5
346,1,0.8859273195266724,58
347,1,0.736912190914154,57
348,1,0.48464056849479675,66
349,1,0.7936801314353943,49
350,1,1.3720375299453735,37
351,1,0.6497712135314941,61
